Date,Open,High,Low,Close,Volume
10/10/2017,76330002,76629997,76139999,76290001,13944500
10/11/2017,76360001,76459999,75949997,76419998,15388900
10/12/2017,76489998,77290001,76370003,77120003,16876500
10/13/2017,77589996,77870003,77290001,77489998,15335700
10/16/2017,77419998,77809998,77349998,77650002,12380100
10/17/2017,77470001,77620003,77250000,77589996,16824000
10/18/2017,77669998,77849998,77370003,77610001,13300700
10/19/2017,77570000,77930000,77349998,77910004,15092800
10/20/2017,78320000,78970001,78220001,78809998,22866400
10/23/2017,78989998,79339996,78760002,78830002,20627200
10/24/2017,78900002,79199997,78459999,78860001,17517200
10/25/2017,78580002,79099998,78010002,78629997,20410800
10/26/2017,79199997,79419998,78750000,78760002,32120700
10/27/2017,84370003,86199997,83610001,83809998,71066700
10/30/2017,83699997,84330002,83110001,83889999,31756700
10/31/2017,84360001,84360001,83110001,83180000,27086600
11/01/2017,83680000,83760002,82879997,83180000,22307400
11/02/2017,83349998,84459999,83120003,84050003,23992900
11/03/2017,84080002,84540001,83400002,84139999,17633500
11/06/2017,84199997,84699997,84080002,84470001,19860900
11/07/2017,84769997,84900002,83930000,84269997,17939700
11/08/2017,84139999,84610001,83830002,84559998,18034200
11/09/2017,84110001,84269997,82900002,84089996,21178400
11/10/2017,83790001,84099998,83230003,83870003,19397800
11/13/2017,83660004,83940002,83459999,83930000,14196900
11/14/2017,83500000,84099998,82980003,84050003,18801300
11/15/2017,83470001,83690002,82690002,82980003,19383100
11/16/2017,83099998,83419998,82940002,83199997,20962800
11/17/2017,83120003,83120003,82239998,82400002,22079000
11/20/2017,82400002,82589996,82250000,82529999,16315000
11/21/2017,82739998,83839996,82739998,83720001,21237500
11/22/2017,83830002,83900002,83040001,83110001,20553100
11/24/2017,83010002,83430000,82779999,83260002,7425600
11/27/2017,83309998,83980003,83300003,83870003,18265200
11/28/2017,84070000,85059998,84019997,84879997,21926000
11/29/2017,84709999,84919998,83180000,83339996,27381100
11/30/2017,83510002,84519997,83339996,84169998,33054600
12/01/2017,83599998,84809998,83220001,84260002,29532100
12/04/2017,84419998,84430000,80699997,81080002,39094900
12/05/2017,81339996,82680000,80980003,81589996,26152300
12/06/2017,81550003,83139999,81430000,82779999,26162100
12/07/2017,82540001,82800003,82000000,82489998,23184500
12/08/2017,83629997,84580002,83330002,84160004,24489100
12/11/2017,84290001,85370003,84120003,85230003,22857900
12/12/2017,85309998,86050003,85080002,85580002,23924100
12/13/2017,85739998,86000000,85169998,85349998,22062700
12/14/2017,85430000,85870003,84529999,84690002,19306000
12/15/2017,85260002,87089996,84879997,86849998,53936700
12/18/2017,87120003,87500000,86230003,86379997,22283800
12/19/2017,86349998,86349998,85269997,85830002,23524800
12/20/2017,86199997,86300003,84709999,85519997,23674900
12/21/2017,86050003,86099998,85400002,85500000,17990700
12/22/2017,85400002,85629997,84919998,85510002,14145800
12/26/2017,85309998,85529999,85029999,85400002,9891200
12/27/2017,85650002,85980003,85220001,85709999,14678000
12/28/2017,85900002,85930000,85550003,85720001,10594300
12/29/2017,85629997,86050003,85500000,85540001,18717400
01/02/2018,86129997,86309998,85500000,85949997,22483800
01/03/2018,86059998,86510002,85970001,86349998,26061400
01/04/2018,86589996,87660004,86570000,87110001,21912000
01/05/2018,87660004,88410004,87430000,88190002,23407100
01/08/2018,88199997,88580002,87599998,88279999,22113000
01/09/2018,88650002,88730003,87860001,88220001,19484300
01/10/2018,87860001,88190002,87410004,87820000,18652200
01/11/2018,88129997,88129997,87239998,88080002,17808900
01/12/2018,88669998,89779999,88449997,89599998,24271500
01/16/2018,90099998,90790001,88010002,88349998,36599700
01/17/2018,89080002,90279999,88750000,90139999,25621200
01/18/2018,89800003,90669998,89660004,90099998,24159700
01/19/2018,90139999,90610001,89660004,90000000,36875000
01/22/2018,90000000,91620003,89739998,91610001,23601600
01/23/2018,91900002,92300003,91540001,91900002,23412800
01/24/2018,92550003,93430000,91580002,91820000,33277500
01/25/2018,92470001,93239998,91930000,92330002,26383200
01/26/2018,93120003,94059998,92580002,94059998,29172200
01/29/2018,95139999,95449997,93720001,93919998,31569900
01/30/2018,93300003,93660004,92099998,92739998,38635100
01/31/2018,93750000,95400002,93510002,95010002,48756300
02/01/2018,94790001,96070000,93580002,94260002,47227900
02/02/2018,93639999,93970001,91500000,91779999,47867800
02/05/2018,90559998,93239998,88000000,88000000,51031500
02/06/2018,86889999,91480003,85250000,91330002,67998600
02/07/2018,90489998,91769997,89199997,89610001,41107600
02/08/2018,89709999,89879997,84760002,85010002,55628700
02/09/2018,86300003,88930000,83830002,88180000,63499100
02/12/2018,88739998,89779999,87930000,89129997,35720300
02/13/2018,88930000,90000000,87800003,89830002,26407700
02/14/2018,88510002,90989998,88410004,90809998,34960900
02/15/2018,91209999,92720001,90620003,92660004,27823900
02/16/2018,92449997,93500000,91800003,92000000,30596900
02/20/2018,91480003,93059998,91010002,92720001,30911700
02/21/2018,92980003,93360001,91489998,91489998,26922500
02/22/2018,92050003,92730003,91360001,91730003,24392800
02/23/2018,93599998,94070000,92360001,94059998,26329200
02/26/2018,94400002,95449997,94250000,95419998,30199800
02/27/2018,95739998,95839996,94199997,94199997,25869100
02/28/2018,94839996,95709999,93629997,93769997,31167300
03/01/2018,93989998,94570000,91839996,92849998,37135600
03/02/2018,91580002,93150002,90860001,93050003,32830400
03/05/2018,92339996,94269997,92260002,93639999,23901600
03/06/2018,94339996,94489998,92940002,93320000,22175800
03/07/2018,93160004,93940002,92430000,93860001,26716100
03/08/2018,94269997,95099998,93769997,94430000,25887800
03/09/2018,95290001,96540001,95000000,96540001,36937300
03/12/2018,96500000,97209999,96040001,96769997,26073700
03/13/2018,97000000,97239998,93970001,94410004,35387800
03/14/2018,95120003,95410004,93500000,93849998,32132000
03/15/2018,93529999,94580002,92830002,94180000,27611000
03/16/2018,94680000,95379997,93919998,94599998,49081300
03/19/2018,93739998,93900002,92110001,92889999,33344100
03/20/2018,93050003,93769997,93000000,93129997,23075200
03/21/2018,92930000,94050003,92209999,92480003,24457100
03/22/2018,91269997,91750000,89660004,89790001,38604700
03/23/2018,89500000,90459999,87080002,87180000,44068900
03/26/2018,90610001,94000000,90400002,93779999,56396800
03/27/2018,94940002,95139999,88510002,89470001,56569000
03/28/2018,89820000,91230003,88870003,89389999,52501100
03/29/2018,90180000,92290001,88400002,91269997,45867500
04/02/2018,90470001,90879997,87510002,88519997,48515400
04/03/2018,89580002,90050003,87889999,89709999,37213800
04/04/2018,87849998,92760002,87730003,92330002,35560000
04/05/2018,92440002,93070000,91400002,92379997,29771900
04/06/2018,91489998,92459999,89480003,90230003,38026000
04/09/2018,91040001,93169998,90620003,90769997,31533900
04/10/2018,92389999,93279999,91639999,92879997,26812000
04/11/2018,92010002,93290001,91480003,91860001,24872100
04/12/2018,92430000,94160004,92430000,93580002,26758900
04/13/2018,94050003,94180000,92440002,93080002,23346100
04/16/2018,94070000,94660004,93419998,94169998,20288100
04/17/2018,95000000,96540001,94879997,96070000,26771000
04/18/2018,96220001,96720001,95519997,96440002,21043300
04/19/2018,96440002,97070000,95339996,96110001,23552500
04/20/2018,95910004,96110001,94050003,95000000,31154400
04/23/2018,95739998,96290001,94629997,95349998,22331800
04/24/2018,96239998,96470001,92410004,93120003,34524800
04/25/2018,93300003,93300003,90279999,92309998,33729300
04/26/2018,93550003,95150002,93099998,94260002,42529000
04/27/2018,97599998,97900002,93910004,95820000,48272800
04/30/2018,96330002,96400002,93150002,93519997,41523600
05/01/2018,93209999,95290001,92790001,95000000,31408900
05/02/2018,94989998,95169998,93190002,93510002,27471000
05/03/2018,92959999,94930000,92449997,94070000,31142500
05/04/2018,93320000,95370003,92919998,95160004,22531300
05/07/2018,95169998,96709999,95099998,96220001,24242000
05/08/2018,95849998,96160004,95059998,95809998,23484600
05/09/2018,96010002,96970001,95050003,96940002,27327400
05/10/2018,97459999,97949997,97050003,97910004,22388100
05/11/2018,97800003,97870003,97040001,97699997,16778300
05/14/2018,97919998,98690002,97309998,98029999,19454100
05/15/2018,97239998,97849998,96339996,97320000,24594000
05/16/2018,97360001,97400002,96620003,97150002,17384700
05/17/2018,96760002,97540001,95830002,96180000,17246700
05/18/2018,96010002,96930000,96010002,96360001,17865800
05/21/2018,97000000,98010002,96800003,97599998,19422500
05/22/2018,97680000,98169998,97199997,97500000,15441200
05/23/2018,96709999,98730003,96320000,98660004,21251200
05/24/2018,98730003,98940002,96809998,98309998,26649300
05/25/2018,98300003,98980003,97860001,98360001,18363900
05/29/2018,97839996,98879997,97230003,98010002,28671000
05/30/2018,98309998,99250000,97910004,98949997,22158500
05/31/2018,99290001,99989998,98610001,98839996,34140900
06/01/2018,99279999,100860001,99169998,100790001,28655600
06/04/2018,101260002,101860001,100849998,101669998,27281600
06/05/2018,102000000,102330002,101529999,102190002,23514400
06/06/2018,102480003,102599998,101900002,102489998,21122900
06/07/2018,102650002,102690002,100379997,100879997,28232200
06/08/2018,101089996,101949997,100540001,101629997,22165100
06/11/2018,101010002,101589996,100669998,101050003,23490900
06/12/2018,101099998,101449997,100750000,101309998,18325200
06/13/2018,101720001,102010002,100559998,100849998,29492900
06/14/2018,101650002,102029999,101000000,101419998,25691800
06/15/2018,101510002,101529999,100070000,100129997,65738600
06/18/2018,100010002,101110001,99419998,100860001,23586000
06/19/2018,99650002,101000000,99500000,100860001,28653100
06/20/2018,101370003,102519997,101120003,101870003,26180800
06/21/2018,102080002,102459999,100879997,101139999,23198200
06/22/2018,100410004,100769997,99629997,100410004,38923100
06/25/2018,100000000,100110001,97300003,98389999,35433300
06/26/2018,98820000,100080002,98750000,99080002,26897200
06/27/2018,99580002,100019997,97400002,97540001,31298400
06/28/2018,97379997,99110001,97260002,98629997,26650700
06/29/2018,98930000,99910004,98330002,98610001,28053200
07/02/2018,98099998,100059998,98000000,100010002,19564500
07/03/2018,100480003,100629997,98940002,99050003,14670300
07/05/2018,99500000,99919998,99029999,99760002,18977400
07/06/2018,99889999,101430000,99669998,101160004,19234600
07/09/2018,101650002,102250000,101250000,101849998,18212000
07/10/2018,102000000,102510002,101860001,102120003,19293100
07/11/2018,101150002,102339996,101099998,101980003,19644600
07/12/2018,102769997,104410004,102730003,104190002,24335900
07/13/2018,104370003,105599998,104089996,105430000,24635200
07/16/2018,105400002,105820000,104519997,104910004,21786900
07/17/2018,104610001,106500000,104320000,105949997,25901700
07/18/2018,105940002,106050003,104720001,105120003,29493900
07/19/2018,104930000,105309998,103889999,104400002,40171600
07/20/2018,108080002,108199997,106080002,106269997,56004000
07/23/2018,106300003,108139999,106129997,107970001,29707000
07/24/2018,108570000,108820000,107260002,107660004,26316600
07/25/2018,107959999,111150002,107599998,110830002,30702100
07/26/2018,110739998,111000000,109500000,109620003,31372100
07/27/2018,110180000,110180000,106139999,107680000,37005300
07/30/2018,107190002,107529999,104760002,105370003,34668300
07/31/2018,106489998,106720001,105379997,106080002,27655200
08/01/2018,106029999,106449997,105419998,106279999,23628700
08/02/2018,105400002,108089996,104839996,107570000,26104300
08/03/2018,107800003,108050003,106820000,108040001,18659600
08/06/2018,108120003,108419998,107559998,108129997,20265900
08/07/2018,108559998,109099998,108169998,108879997,16080200
08/08/2018,109330002,109750000,108760002,109489998,15487500
08/09/2018,109709999,110160004,109599998,109669998,13677200
08/10/2018,109419998,109690002,108379997,109000000,18183700
08/13/2018,109239998,109580002,108099998,108209999,18472500
08/14/2018,108559998,109750000,108040001,109559998,16788300
08/15/2018,108489998,108989998,106820000,107660004,29982800
08/16/2018,108300003,108860001,107300003,107639999,21384300
08/17/2018,107360001,107900002,106690002,107580002,18061500
08/20/2018,107510002,107900002,106480003,106870003,17914200
08/21/2018,106919998,107349998,105849998,105980003,22881900
08/22/2018,105849998,107339996,105779999,107059998,18000600
08/23/2018,107150002,108180000,106870003,107559998,18167700
08/24/2018,107669998,108559998,107559998,108400002,17234000
08/27/2018,109269997,109639999,108510002,109599998,19662300
08/28/2018,109940002,110500000,109790001,110260002,19151500
08/29/2018,110449997,112029999,110269997,112019997,20818000
08/30/2018,111669998,112610001,111440002,111949997,22798700
08/31/2018,111690002,112779999,111519997,112330002,23222700
09/04/2018,110849998,111959999,110220001,111709999,22634600
09/05/2018,111010002,111419998,108099998,108489998,32872400
09/06/2018,108250000,108989998,107510002,108739998,23477600
09/07/2018,108230003,108720001,107230003,108209999,22498600
09/10/2018,108839996,109639999,108360001,109379997,20727900
09/11/2018,108900002,111589996,108889999,111239998,24301800
09/12/2018,111430000,111849998,110510002,111709999,18891100
09/13/2018,112120003,113730003,112120003,112910004,26055600
09/14/2018,113360001,113730003,112440002,113370003,19122300
09/17/2018,113690002,113699997,111860001,112139999,20736500
09/18/2018,112190002,113699997,111720001,113209999,22170900
09/19/2018,113050003,113320000,111040001,111699997,21728400
09/20/2018,112279999,113800003,111930000,113570000,23714500
09/21/2018,114000000,115290001,113510002,114260002,71229700
09/24/2018,113029999,114900002,112220001,114669998,27334500
09/25/2018,114800003,115099998,113750000,114449997,22668000
09/26/2018,114470001,115059998,113739998,113980003,19352000
09/27/2018,114779999,114910004,114199997,114410004,19091300
09/28/2018,114190002,114570000,113680000,114370003,21647800
10/01/2018,114750000,115680000,114730003,115610001,18883100
10/02/2018,115300003,115839996,114440002,115150002,20787200
10/03/2018,115419998,116180000,114930000,115169998,16648000
10/04/2018,114610001,114760002,111629997,112790001,34821700
10/05/2018,112629997,113169998,110639999,112129997,29068900
10/08/2018,111660004,112029999,109339996,110849998,29640600
10/09/2018,111139999,113080002,110800003,112260002,26198600
10/10/2018,111239998,111500000,105790001,106160004,61376300
10/11/2018,105349998,108930000,104199997,105910004,63904300
10/12/2018,109010002,111239998,107120003,109570000,47742100
10/15/2018,108910004,109480003,106949997,107599998,32068100
10/16/2018,109540001,111410004,108949997,111000000,31610200
10/17/2018,111680000,111809998,109550003,110709999,26548200
10/18/2018,110099998,110529999,107830002,108500000,32506200
10/19/2018,108930000,110860001,108209999,108660004,32785500
10/22/2018,109320000,110540001,108239998,109629997,26545600
10/23/2018,107769997,108970001,105110001,108099998,43770400
10/24/2018,108410004,108489998,101589996,102320000,63897800
10/25/2018,106550003,109269997,106150002,108300003,61646800
10/26/2018,105690002,108750000,104760002,106959999,55523100
10/29/2018,108110001,108699997,101629997,103849998,55162000
10/30/2018,103660004,104379997,100110001,103730003,65350900
10/31/2018,105440002,108139999,105389999,106809998,51062400
11/01/2018,107050003,107320000,105529999,105919998,33384200
11/02/2018,106480003,107320000,104980003,106160004,37680200
11/05/2018,106370003,107739998,105900002,107510002,27922100
11/06/2018,107379997,108839996,106279999,107720001,24340200
11/07/2018,109440002,112239998,109400002,111959999,37901700
11/08/2018,111800003,112209999,110910004,111750000,25644100
11/09/2018,110849998,111449997,108760002,109570000,32039200
11/12/2018,109419998,109959999,106099998,106870003,33621800
11/13/2018,107550003,108739998,106639999,106940002,35374600
11/14/2018,108099998,108260002,104470001,104970001,39495100
11/15/2018,104989998,107800003,103910004,107279999,38505200
11/16/2018,107080002,108879997,106800003,108290001,33502100
11/19/2018,108269997,108559998,103550003,104620003,44773900
11/20/2018,101800003,102970001,99349998,101709999,64052500
11/21/2018,103599998,104430000,102239998,103110001,28130600
11/23/2018,102169998,103809998,102000000,103070000,13823100
11/26/2018,104790001,106629997,104580002,106470001,32336200
11/27/2018,106269997,107330002,105360001,107139999,29124500
11/28/2018,107889999,111330002,107860001,111120003,46788500
11/29/2018,110330002,111120003,109029999,110190002,28123200
11/30/2018,110699997,110970001,109360001,110889999,33665600
12/03/2018,113000000,113419998,110730003,112089996,34732800
12/04/2018,111940002,112639999,108209999,108519997,45197000
12/06/2018,105820000,109239998,105000000,109190002,49107400
12/07/2018,108379997,109449997,104300003,104820000,45044900
12/10/2018,104800003,107980003,103889999,107589996,40801500
12/11/2018,109800003,110949997,107440002,108589996,42381900
12/12/2018,110889999,111269997,109040001,109080002,36183000
12/13/2018,109580002,110870003,108629997,109449997,31333400
12/14/2018,108250000,109260002,105500000,106029999,47043100
12/17/2018,105410004,105800003,101709999,102889999,56957300
12/18/2018,103750000,104510002,102519997,103970001,49319200
12/19/2018,103650002,106879997,101349998,103690002,68198200
12/20/2018,103050003,104309998,98779999,101510002,70334200
12/21/2018,101629997,103000000,97459999,98230003,111242100
12/24/2018,97680000,97970001,93980003,94129997,43935200
12/26/2018,95139999,100690002,93959999,100559998,51634800
12/27/2018,99300003,101190002,96400002,101180000,49498500
12/28/2018,102089996,102410004,99519997,100389999,38196300
12/31/2018,101290001,102400002,100440002,101570000,33173800
01/02/2019,99550003,101750000,98940002,101120003,35329300
01/03/2019,100099998,100190002,97199997,97400002,42579100
01/04/2019,99720001,102510002,98930000,101930000,44060600
01/07/2019,101639999,103269997,100980003,102059998,35656100
01/08/2019,103040001,103970001,101709999,102800003,31514400
01/09/2019,103860001,104879997,103239998,104269997,32280800
01/10/2019,103220001,103750000,102379997,103599998,30067600
01/11/2019,103190002,103440002,101639999,102800003,28314200
01/14/2019,101900002,102870003,101260002,102050003,28437100
01/15/2019,102510002,105050003,101879997,105010002,31587600
01/16/2019,105260002,106260002,104959999,105379997,29853900
01/17/2019,105000000,106629997,104760002,106120003,28393000
01/18/2019,107459999,107900002,105910004,107709999,37427600
01/22/2019,106750000,107099998,104860001,105680000,32371300
01/23/2019,106120003,107040001,105339996,106709999,25874300
01/24/2019,106860001,107000000,105339996,106199997,23164800
01/25/2019,107239998,107879997,106199997,107169998,31225600
01/28/2019,106260002,106480003,104660004,105080002,29476700
01/29/2019,104879997,104970001,102169998,102940002,31490500
01/30/2019,104620003,106379997,104330002,106379997,49471900
01/31/2019,103800003,105220001,103180000,104430000,55636400
02/01/2019,103779999,104099998,102349998,102779999,35535700
02/04/2019,102870003,105800003,102769997,105739998,31315100
02/05/2019,106059998,107269997,105959999,107220001,27325400
02/06/2019,107000000,107000000,105529999,106029999,20609800
02/07/2019,105190002,105589996,104290001,105269997,29760700
02/08/2019,104389999,105779999,104260002,105669998,21461100
02/11/2019,106199997,106580002,104970001,105250000,18914100
02/12/2019,106139999,107139999,105480003,106889999,25056600
02/13/2019,107500000,107779999,106709999,106809998,18394900
02/14/2019,106309998,107290001,105660004,106900002,21784700
02/15/2019,107910004,108300003,107360001,108220001,26606900
02/19/2019,107790001,108660004,107779999,108169998,18038500
02/20/2019,107860001,107940002,106290001,107150002,21607700
02/21/2019,106900002,109480003,106870003,109410004,29063200
02/22/2019,110050003,111199997,109820000,110970001,27763200
02/25/2019,111760002,112180000,111260002,111589996,23750600
02/26/2019,111260002,113239998,111169998,112360001,21536700
02/27/2019,111690002,112360001,110879997,112169998,21487100
02/28/2019,112040001,112879997,111730003,112029999,29083900
03/01/2019,112889999,113019997,111669998,112529999,23501200
03/04/2019,113019997,113250000,110800003,112260002,26608000
03/05/2019,112250000,112389999,111230003,111699997,19538300
03/06/2019,111870003,112660004,111430000,111750000,17687000
03/07/2019,111400002,111550003,109870003,110389999,25339000
03/08/2019,109160004,110709999,108800003,110510002,22818400
03/11/2019,110989998,112949997,110980003,112830002,26491600
03/12/2019,112820000,113989998,112650002,113620003,26132700
03/13/2019,114129997,115000000,113779999,114500000,35513800
03/14/2019,114540001,115199997,114330002,114589996,30763400
03/15/2019,115339996,117250000,114589996,115910004,54681100
03/18/2019,116169998,117610001,116050003,117570000,31207600
03/19/2019,118089996,118440002,116989998,117650002,37588700
03/20/2019,117389999,118750000,116709999,117519997,28113300
03/21/2019,117139999,120820000,117089996,120220001,29854400
03/22/2019,119500000,119589996,117040001,117050003,33624500
03/25/2019,116559998,118010002,116320000,117660004,27067100
03/26/2019,118620003,118709999,116849998,117910004,26097700
03/27/2019,117879997,118209999,115519997,116769997,22733400
03/28/2019,117440002,117580002,116129997,116930000,18334800
03/29/2019,118070000,118320000,116959999,117940002,25399800
